agency_cd,site_no
USGS,5014300
USGS,6006000
USGS,6023000
USGS,6023100
USGS,6024450
USGS,6024580
USGS,6025250
USGS,6025500
USGS,6026210
USGS,6026420
USGS,6026500
USGS,6027600
USGS,6035000
USGS,6036650
USGS,6036805
USGS,6036905
USGS,6036940
USGS,6037500
USGS,6038500
USGS,6038800
USGS,6040000
USGS,6041000
USGS,6043120
USGS,6052500
USGS,6054500
USGS,6066500
USGS,6073500
USGS,6077200
USGS,6085800
USGS,6098120
USGS,6101630
USGS,6102050
USGS,6115200
USGS,6188000
USGS,6190540
USGS,6191500
USGS,6192500
USGS,6192900
USGS,6192980
USGS,6195750
USGS,6195950
USGS,6204070
USGS,6205000
USGS,6214500
USGS,6329500
USGS,12300110
USGS,12301919
USGS,12301933
USGS,12305000
USGS,12323233
USGS,12323242
USGS,12323770
USGS,12324400
USGS,12334510
USGS,12340000
USGS,12344000
USGS,12352500
USGS,12353650
USGS,12354700
USGS,12355342
USGS,12355347
USGS,12355500
USGS,12363000
USGS,12388700
USGS,5014300
USGS,6006000
USGS,6023000
USGS,6023100
USGS,6024450
USGS,6024580
USGS,6025250
USGS,6025500
USGS,6026210
USGS,6026420
USGS,6026500
USGS,6027600
USGS,6035000
USGS,6036650
USGS,6036805
USGS,6036905
USGS,6036940
USGS,6037500
USGS,6038500
USGS,6038800
USGS,6040000
USGS,6041000
USGS,6043120
USGS,6052500
USGS,6054500
USGS,6066500
USGS,6073500
USGS,6077200
USGS,6085800
USGS,6098120
USGS,6101630
USGS,6102050
USGS,6115200
USGS,6188000
USGS,6190540
USGS,6191500
USGS,6192500
USGS,6192900
USGS,6192980
USGS,6195750
USGS,6195950
USGS,6204070
USGS,6205000
USGS,6214500
USGS,6329500
USGS,12300110
USGS,12301919
USGS,12301933
USGS,12305000
USGS,12323233
USGS,12323242
USGS,12323770
USGS,12324400
USGS,12334510
USGS,12340000
USGS,12344000
USGS,12352500
USGS,12353650
USGS,12354700
USGS,12355342
USGS,12355347
USGS,12355500
USGS,12363000
USGS,12388700